jagħmilhom	does	يَا
jsewwi	Repair	إصلاحات
jistaħba	Other	مَا عِنْدُو
mifnijin	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sensittiv	sensitive	الحساسة
returned	returned	رُدِّيو
jsib	find	عثرة
about	about	عن
ħadilha	has taken it	خذتها
tewqu	the following:	المعلومات التالية:
jiżbgħuhom	to be sold	بيع
definizzjonijiet	definitions	تعريفات
mitluq	departure	الخروج
Brigadier	Brigadier	بريجادي
midalja	a weight of not more than 0,5%	مِنْ غِيرْ مَا يُقْصُدْ
għalqitx	not exceeding	مَا يَفْصِلْشْ
koma	a comma	كاما
Mozart	Mozart	موزارت
ġ	c.	ج.
De	Other	مَا عِنْدُو
kedda	cats	كات
Merry	Merry	فرحين
ninsew	forget	نِسْتَنْفُوا
ngħaddu	passing	الممر
magħkus	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Spagnol	Spanish	الإسبانية
dokumentazzjoni	the documentation	الوثائق
lixxa	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
tiffranka	savings	مدخرات
entitajiet	entities	الكيانات
ejja	Let's go	خلينا نخرج
skużani	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ħawwad	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
satchel	satchel	كيسة
laqqatniehom	We have been	كُنَّا
wegħda	pledge	الوعد
rnexxilix	failed	فشل
sagħtejn	two hours	ساعتين
nimbuttawh	we press it	نضغط عليه
pajjiiżu	Other articles	المواد الأُخرى
ikasbar	Other	مَا عِنْدُو
bgħat	sent	رُسُلْ
fgura	Fugue	فجو
antiporta	the anti-port	المُعَدِّي لِلخَطْ
terzi	third parties	الأطراف الثالثة
regolat	Regulation	القواعد
jgħinuhom	help them	عَاوِنْهُمْ
jintefa'	is deleted	مُحَطِّي
xeraq	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ġlieda	the conflict	النزاع
Weġibtu	Answered	جَاوِبْ
insultat	result	النتيجة
qalilhom	told them	قَالِلْهُمْ
infatti	In fact	في الحقيقة
